DATE,STORE_NBR,LYLTY_CARD_NBR,TXN_ID,PROD_NBR,PROD_QTY,TOT_SALES,PACK_SIZE,BRAND_NAME,LIFESTAGE,PREMIUM_CUSTOMER
2019-05-16,152,152117,150988,33,1,3.8,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2019-05-20,153,153106,152359,30,3,13.2,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-05-18,156,156236,158228,110,2,3.8,200,WW,MIDAGE SINGLES/COUPLES,Budget
2018-08-15,166,166235,168185,44,1,3.3,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-05-18,167,167405,169222,96,2,3.8,160,WW,MIDAGE SINGLES/COUPLES,Budget
2019-05-17,168,168219,170719,33,4,15.2,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-08-20,169,169267,171363,61,2,5.8,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2018-08-17,181,181265,183665,44,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-05-14,186,186188,188585,78,1,3.3,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-08-20,186,186401,188768,1,5,14.5,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2018-08-14,196,196121,196172,100,2,5.8,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-05-19,207,207091,205119,44,1,3.3,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-05-17,208,208081,206568,61,1,2.9,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-05-17,222,222209,222693,40,5,16.5,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-08-14,225,225242,226134,22,1,3.3,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-08-17,248,248409,250717,27,3,5.7,200,WW,MIDAGE SINGLES/COUPLES,Budget
2019-05-19,253,253032,253575,47,1,4.4,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-05-19,253,253295,253972,47,3,13.2,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-08-19,262,262237,262645,77,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-08-20,265,265282,263626,100,1,2.9,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2018-09-05,1,1052,57,44,1,3.3,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-02-27,1,1081,93,96,2,3.8,160,WW,MIDAGE SINGLES/COUPLES,Budget
2019-03-19,1,1081,94,8,1,2.9,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2018-11-25,1,1184,216,2,1,3.8,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-11-10,1,1307,346,96,2,3.8,160,WW,MIDAGE SINGLES/COUPLES,Budget
2018-11-01,1,1348,390,28,1,3.3,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-04-06,1,1395,453,61,2,5.8,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-03-04,1,1411,478,30,1,4.4,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-09-23,2,2203,805,28,1,3.3,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-09-26,2,2438,1053,16,1,5.7,330,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-03-30,2,2438,1054,96,2,3.8,160,WW,MIDAGE SINGLES/COUPLES,Budget
2018-07-18,3,3167,1793,75,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-07-28,3,3167,1794,40,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-03-02,3,3326,2481,44,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-06-11,3,3326,2484,40,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-03-26,3,3349,2573,75,1,3.8,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-08-06,4,4016,2713,28,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-10-13,4,4072,2966,75,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-10-09,4,4106,3135,78,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-04-13,4,4106,3136,28,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-06-27,4,4106,3137,78,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-06-30,4,4196,3540,28,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-08-21,4,4363,4282,28,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-03-23,4,4363,4284,40,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-12-24,4,4371,4316,78,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-10-31,5,5026,4528,44,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-06-11,5,5050,4672,61,2,5.8,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-06-23,5,5091,4906,100,2,5.8,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2018-10-02,5,5136,5173,33,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-10-27,6,6138,5932,77,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-07-09,6,6234,6025,78,1,3.3,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-07-21,7,7077,6601,28,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-03-12,7,7077,6606,40,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-11-20,7,7084,6629,40,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-10-14,7,7133,6814,75,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2019-04-16,7,7173,7003,28,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-04-24,7,7173,7004,16,2,11.4,330,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-03-23,7,7364,7741,78,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-03-11,8,8294,8222,78,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-06-27,8,8294,8223,33,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-11-24,9,9273,8715,33,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-12-05,10,10118,9742,33,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-07-03,10,10192,10174,21,2,3.8,160,WW,MIDAGE SINGLES/COUPLES,Budget
2018-12-18,10,10192,10176,100,2,5.8,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-04-13,10,10200,10226,8,2,5.8,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-06-21,10,10200,10227,21,2,3.8,160,WW,MIDAGE SINGLES/COUPLES,Budget
2018-09-06,13,13010,11153,16,2,11.4,330,Smiths,MIDAGE SINGLES/COUPLES,Budget
2018-10-09,13,13010,11155,2,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2019-06-08,13,13010,11158,28,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-12-23,13,13047,11391,75,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-07-28,13,13176,12210,100,2,5.8,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-03-28,13,13176,12214,30,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-02-01,13,13213,12449,30,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-06-15,13,13213,12451,47,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-11-01,15,15145,13633,27,2,3.8,200,WW,MIDAGE SINGLES/COUPLES,Budget
2018-12-01,15,15145,13634,21,2,3.8,160,WW,MIDAGE SINGLES/COUPLES,Budget
2019-01-12,15,15145,13635,27,2,3.8,200,WW,MIDAGE SINGLES/COUPLES,Budget
2018-12-05,16,16131,14279,78,1,3.3,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-04-13,17,17294,15055,75,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-12-04,18,18020,15207,100,2,5.8,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-03-15,18,18080,15277,100,1,2.9,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2018-09-05,19,19024,15864,44,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-06-17,19,19024,15866,75,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2019-06-29,19,19272,16687,30,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-07-21,20,20120,17084,21,1,1.9,160,WW,MIDAGE SINGLES/COUPLES,Budget
2019-06-19,21,21092,17664,30,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-05-21,23,23061,19116,61,2,5.8,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2018-12-09,23,23119,19455,30,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-01-13,23,23119,19457,28,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-04-01,24,24032,20455,96,2,3.8,160,WW,MIDAGE SINGLES/COUPLES,Budget
2018-10-05,26,26330,23701,78,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-01-05,26,26330,23705,28,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-08-27,26,26341,23737,44,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-12-28,27,27044,23999,2,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2019-06-27,27,27116,24112,78,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-04-26,28,28206,25749,16,2,11.4,330,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-02-19,28,28227,25878,75,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2019-03-09,29,29214,26241,47,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-05-24,30,30032,26681,2,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2019-02-06,30,30131,27292,22,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-05-24,30,30131,27296,47,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-09-14,32,32130,28796,61,2,5.8,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2018-12-12,32,32130,28798,22,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-11-27,32,32169,29020,21,2,3.8,160,WW,MIDAGE SINGLES/COUPLES,Budget
2018-12-14,32,32169,29021,21,2,3.8,160,WW,MIDAGE SINGLES/COUPLES,Budget
2019-04-06,32,32169,29023,16,2,11.4,330,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-05-08,32,32169,29024,40,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-08-07,32,32208,29267,40,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-09-20,33,33019,29543,29,2,6.0,175,French,MIDAGE SINGLES/COUPLES,Budget
2019-05-09,33,33019,29546,21,2,3.8,160,WW,MIDAGE SINGLES/COUPLES,Budget
2019-04-04,33,33027,29609,33,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2019-01-13,33,33081,29952,21,2,3.8,160,WW,MIDAGE SINGLES/COUPLES,Budget
2019-06-03,33,33152,30428,40,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-05-30,34,34316,31519,30,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-02-20,34,34352,31570,78,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-06-16,35,35414,31957,61,1,2.9,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-04-23,36,36151,32601,44,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-09-18,36,36203,32790,40,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-03-19,36,36203,32792,33,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-09-04,37,37171,33698,33,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-08-21,38,38142,34182,1,1,2.9,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-01-12,38,38236,34274,96,1,1.9,160,WW,MIDAGE SINGLES/COUPLES,Budget
2018-12-16,38,38355,34410,2,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-11-26,38,38442,34505,22,1,3.3,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-11-20,38,38467,34543,110,2,3.8,200,WW,MIDAGE SINGLES/COUPLES,Budget
2018-08-11,39,39042,34869,8,2,5.8,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2018-11-18,39,39125,35376,27,2,3.8,200,WW,MIDAGE SINGLES/COUPLES,Budget
2019-01-22,39,39125,35379,110,2,3.8,200,WW,MIDAGE SINGLES/COUPLES,Budget
2018-08-25,39,39134,35434,29,2,6.0,175,French,MIDAGE SINGLES/COUPLES,Budget
2018-09-21,39,39134,35437,22,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-02-08,39,39134,35442,77,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-12-17,39,39144,35503,96,2,3.8,160,WW,MIDAGE SINGLES/COUPLES,Budget
2018-12-01,39,39167,35641,33,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-11-19,40,40015,36171,77,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-04-20,40,40015,36173,44,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-01-14,40,40240,37205,44,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-02-06,40,40240,37206,44,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-05-08,40,40240,37207,2,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-09-13,41,41391,38350,33,1,3.8,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-12-22,41,41423,38390,27,1,1.9,200,WW,MIDAGE SINGLES/COUPLES,Budget
2019-04-19,41,41423,38392,110,1,1.9,200,WW,MIDAGE SINGLES/COUPLES,Budget
2019-05-06,43,43080,39130,28,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-03-20,43,43112,39356,110,2,3.8,200,WW,MIDAGE SINGLES/COUPLES,Budget
2018-10-01,43,43147,39603,2,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-12-11,43,43147,39604,30,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-06-30,43,43147,39609,1,2,5.8,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-04-09,43,43149,39621,61,2,5.8,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2018-11-25,45,45019,40531,21,2,3.8,160,WW,MIDAGE SINGLES/COUPLES,Budget
2019-04-13,45,45019,40535,28,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-11-11,45,45126,41115,78,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-12-12,45,45127,41121,44,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-07-25,45,45187,41479,44,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-02-10,45,45187,41481,21,2,3.8,160,WW,MIDAGE SINGLES/COUPLES,Budget
2018-09-13,46,46179,41997,22,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-04-03,46,46462,42317,16,1,5.7,330,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-06-07,46,46475,42336,78,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-01-09,47,47039,42409,78,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-10-28,47,47204,42616,78,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-12-18,47,47271,42715,77,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-04-19,47,47287,42734,47,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-09-28,47,47326,42789,33,1,3.8,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-10-01,47,47326,42790,22,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-04-10,48,48131,43861,1,2,5.8,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2018-07-23,48,48179,44174,27,2,3.8,200,WW,MIDAGE SINGLES/COUPLES,Budget
2019-03-15,48,48179,44176,28,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-06-22,48,48188,44226,96,2,3.8,160,WW,MIDAGE SINGLES/COUPLES,Budget
2019-01-21,49,49152,45138,2,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-07-12,49,49203,45366,78,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-01-20,49,49278,45679,2,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2019-03-07,49,49278,45680,30,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-11-23,50,50034,46156,61,2,5.8,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2018-11-02,50,50137,46269,28,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-08-26,50,50192,46341,21,1,1.9,160,WW,MIDAGE SINGLES/COUPLES,Budget
2019-03-14,50,50464,46632,100,1,2.9,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2018-08-22,51,51103,46809,77,1,4.4,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-12-16,51,51103,46810,27,1,1.9,200,WW,MIDAGE SINGLES/COUPLES,Budget
2018-08-06,51,51256,46953,2,1,3.8,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-11-11,51,51256,46954,8,1,2.9,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-01-25,52,52173,47208,16,2,11.4,330,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-03-24,53,53058,47312,96,1,1.9,160,WW,MIDAGE SINGLES/COUPLES,Budget
2018-10-31,53,53284,47565,27,1,1.9,200,WW,MIDAGE SINGLES/COUPLES,Budget
2019-03-14,53,53284,47566,75,1,3.8,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-11-30,53,53421,47715,40,1,3.3,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-11-20,54,54170,48085,30,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-11-02,54,54218,48163,28,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-10-20,55,55023,48582,40,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-01-29,55,55023,48585,16,2,11.4,330,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-06-15,55,55073,48889,16,2,11.4,330,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-05-09,55,55114,49138,110,2,3.8,200,WW,MIDAGE SINGLES/COUPLES,Budget
2019-06-23,55,55114,49139,77,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-09-26,55,55163,49467,100,2,5.8,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-03-28,55,55202,49689,77,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-12-07,56,56013,50092,44,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-02-04,56,56086,50493,21,2,3.8,160,WW,MIDAGE SINGLES/COUPLES,Budget
2018-07-06,56,56150,50816,110,2,3.8,200,WW,MIDAGE SINGLES/COUPLES,Budget
2018-08-08,56,56150,50817,78,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-06-10,56,56150,50821,110,2,3.8,200,WW,MIDAGE SINGLES/COUPLES,Budget
2018-11-10,56,56155,50847,21,2,3.8,160,WW,MIDAGE SINGLES/COUPLES,Budget
2018-12-27,56,56155,50848,21,2,3.8,160,WW,MIDAGE SINGLES/COUPLES,Budget
2018-11-17,57,57009,51309,2,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-11-27,57,57009,51310,77,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-09-10,57,57026,51415,30,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-03-04,57,57032,51455,27,2,3.8,200,WW,MIDAGE SINGLES/COUPLES,Budget
2019-01-24,58,58121,53351,44,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-12-29,58,58191,53663,16,2,11.4,330,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-04-23,58,58191,53665,75,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-10-20,58,58324,54251,78,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-12-24,58,58334,54297,30,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-10-12,58,58348,54364,77,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-08-21,59,59007,54626,77,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-01-02,59,59039,54756,44,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-02-14,59,59039,54758,47,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-07-17,59,59063,54865,28,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-10-02,59,59063,54867,40,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-04-20,59,59187,55366,77,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-11-07,60,60038,56305,16,2,11.4,330,Smiths,MIDAGE SINGLES/COUPLES,Budget
2018-09-21,60,60355,57662,2,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-10-08,60,60355,57663,28,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-03-08,62,62002,57780,33,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-09-27,62,62050,58070,110,2,3.8,200,WW,MIDAGE SINGLES/COUPLES,Budget
2018-08-02,62,62177,58846,75,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2019-06-18,62,62177,58850,16,2,11.4,330,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-06-19,62,62177,58851,30,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-05-30,63,63225,60883,2,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-08-04,64,64014,61118,78,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-10-25,64,64014,61119,2,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-11-13,64,64019,61125,75,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2019-02-16,64,64027,61139,44,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-03-05,64,64027,61140,30,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-06-11,64,64345,61648,16,2,11.4,330,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-04-15,65,65056,61910,30,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-12-19,65,65216,62578,44,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-06-17,65,65216,62579,77,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-07-25,66,66293,63693,44,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-04-15,66,66330,63760,16,2,11.4,330,Smiths,MIDAGE SINGLES/COUPLES,Budget
2018-08-04,67,67053,64136,47,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-11-24,67,67213,65086,47,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-07-01,68,68193,65598,44,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-03-18,69,69008,65858,2,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-09-11,69,69113,66538,27,2,3.8,200,WW,MIDAGE SINGLES/COUPLES,Budget
2018-09-30,69,69113,66541,2,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-10-06,69,69113,66542,21,2,3.8,160,WW,MIDAGE SINGLES/COUPLES,Budget
2018-12-16,69,69113,66543,29,2,6.0,175,French,MIDAGE SINGLES/COUPLES,Budget
2018-07-11,69,69207,67157,33,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-11-22,69,69207,67158,33,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-07-08,71,71107,69629,16,2,11.4,330,Smiths,MIDAGE SINGLES/COUPLES,Budget
2018-09-26,71,71107,69630,16,2,11.4,330,Smiths,MIDAGE SINGLES/COUPLES,Budget
2018-10-04,71,71107,69631,30,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-04-12,71,71122,69716,96,2,3.8,160,WW,MIDAGE SINGLES/COUPLES,Budget
